Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TEAM, FunPlus Phoenix (14480529), FunPlus Phoenix,14480529,TEAM,5400,FPX@EDG 04/12/2020 04:00AM ET,FPX,50.5
TOP, Aodi (14480540), Aodi,14480540,TOP,5400,FPX@EDG 04/12/2020 04:00AM ET,EDG,70.15
TOP, xiaoxiang (14480541), xiaoxiang,14480541,TOP,5400,FPX@EDG 04/12/2020 04:00AM ET,EDG,42.56
TOP, Hoon (14480542), Hoon,14480542,TOP,5200,DRX@AF 04/12/2020 04:00AM ET,AF,0
SUP, Kellin (14480550), Kellin,14480550,SUP,5200,HLE@GEN 04/12/2020 05:30AM ET,GEN,36.96
TEAM, Suning (14480530), Suning,14480530,TEAM,5200,SN@DMO 04/12/2020 02:00AM ET,SN,37.46
TOP, Kingen (14480484), Kingen,14480484,TOP,5200,BLG@iG 04/12/2020 05:30AM ET,BLG,42.77
TOP, CuVee (14480485), CuVee,14480485,TOP,5000,HLE@GEN 04/12/2020 05:30AM ET,HLE,41.11
SUP, Meiko (14480501), Meiko,14480501,SUP,5000,FPX@EDG 04/12/2020 04:00AM ET,EDG,54.15
TOP, ADD (14480543), ADD,14480543,TOP,5000,BLG@iG 04/12/2020 05:30AM ET,BLG,33.17
SUP, Mark (14480502), Mark,14480502,SUP,4800,SN@DMO 04/12/2020 02:00AM ET,DMO,35.76
TEAM, Dominus Esports (14480531), Dominus Esports,14480531,TEAM,4800,SN@DMO 04/12/2020 02:00AM ET,DMO,33.62
SUP, Jelly (14480503), Jelly,14480503,SUP,4600,DRX@AF 04/12/2020 04:00AM ET,AF,37.67
TEAM, EDward Gaming (14480532), EDward Gaming,14480532,TEAM,4600,FPX@EDG 04/12/2020 04:00AM ET,EDG,49
TEAM, Afreeca Freecs (14480533), Afreeca Freecs,14480533,TEAM,4400,DRX@AF 04/12/2020 04:00AM ET,AF,38.75
SUP, Ben (14480551), Ben,14480551,SUP,4400,DRX@AF 04/12/2020 04:00AM ET,AF,1.97
SUP, Lehends (14480504), Lehends,14480504,SUP,4400,HLE@GEN 04/12/2020 05:30AM ET,HLE,37.88
TEAM, Hanwha Life Esports (14480534), Hanwha Life Esports,14480534,TEAM,4200,HLE@GEN 04/12/2020 05:30AM ET,HLE,30.69
SUP, XinMo (14480505), XinMo,14480505,SUP,4200,BLG@iG 04/12/2020 05:30AM ET,BLG,39.58
TEAM, Bilibili Gaming (14480535), Bilibili Gaming,14480535,TEAM,4000,BLG@iG 04/12/2020 05:30AM ET,BLG,42.92
SUP, Moonlight (14480552), Moonlight,14480552,SUP,4000,BLG@iG 04/12/2020 05:30AM ET,BLG,0
